series,model,acc
GhostNet,GhostNet_x0_5,0.6688
GhostNet,GhostNet_x1_0,0.7402
GhostNet,GhostNet_x1_3,0.7579
MobileNetV1,MobileNetV1_x0_25,0.5143
MobileNetV2,MobileNetV1_x0_5,0.6352
MobileNetV3,MobileNetV1_x0_75,0.6881
MobileNetV4,MobileNetV1,0.7099
MobileNetV2,MobileNetV2_x0_25,0.5321
MobileNetV3,MobileNetV2_x0_5,0.6503
MobileNetV4,MobileNetV2_x0_75,0.6983
MobileNetV5,MobileNetV2,0.7215
MobileNetV6,MobileNetV2_x1_5,0.7412
MobileNetV7,MobileNetV2_x2_0,0.7523
MobileNetV3_large,MobileNetV3_large_x0_35,0.6432
MobileNetV4_large,MobileNetV3_large_x0_5,0.6924
MobileNetV5_large,MobileNetV3_large_x0_75,0.7314
MobileNetV6_large,MobileNetV3_large_x1_0,0.7532
MobileNetV7_large,MobileNetV3_large_x1_25,0.7641
MobileNetV3_small,MobileNetV3_small_x0_35,0.5303
MobileNetV4_small,MobileNetV3_small_x0_5,0.5921
MobileNetV5_small,MobileNetV3_small_x0_75,0.6602
MobileNetV6_small,MobileNetV3_small_x1_0,0.6824
MobileNetV7_small,MobileNetV3_small_x1_25,0.7067
PPLCNet,PPLCNet_x0_25,0.5186
PPLCNet,PPLCNet_x0_35,0.5809
PPLCNet,PPLCNet_x0_5,0.6314
PPLCNet,PPLCNet_x0_75,0.6818
PPLCNet,PPLCNet_x1_0,0.7132
ShuffleNetV2,ShuffleNetV2_x0_25,0.499
ShuffleNetV3,ShuffleNetV2_x0_33,0.5373
ShuffleNetV4,ShuffleNetV2_x0_5,0.6032
ShuffleNetV5,ShuffleNetV2_x1_0,0.688